ATTRIBUTE_MouseNumber	ATTRIBUTE_treatment	X691.313_8.563T	X486.749_6.292T	X695.412_8.133T	X582.796_6.426T	X972.48_8.495T	X805.026_7.156T	X977.436_8.493T	X318.095_0.426T	X819.965_6.406T	X261.217_0.415T	X584.299_6.428T	X302.121_0.391T	X496.376_7.874T	X700.452_8.221T	X723.541_9.21T	X309.184_7.468T	X312.111_0.472T	X700.452_8.069T	X1015.667_6.476T	X570.355_6.527T	X548.301_8.314T	X287.625_6.125T	X351.283_9.218.1T	X553.257_8.315T	X349.273_7.438T	X260.074_0.306T	X550.828_7.156T	X700.452_8.244T	X316.136_0.564T	X342.278_9.453T	X331.284_8.013T	X991.672_6.555T	X566.322_6.247T	X299.149_6.287T	X575.313_6.429T	X326.305_7.772T	X287.625_6.125.1T	X531.275_8.315T	X190.045_0.743T	X428.373_7.085T	X504.343_6.709T	X480.345_6.751T	X471.347_5.892T	X422.326_6.18T	X570.795_6.419T	X552.332_7.158T	X572.299_6.419T	X510.392_7.342T	X372.311_6.081T	X543.345_7.157T	X440.314_6.633T	X276.107_5.925T	X560.299_6.413T	X675.422_9.824T	X275.625_6.174T	X174.113_0.589T	X506.36_6.509T	X242.1_0.812T	X398.326_6.263T	X482.324_6.265T	X508.376_6.874T	X278.639_6.12T	X225.11_3.082T	X331.263_8.251T	X510.356_6.849T	X263.237_8.165T	X446.326_6.211T	X279.232_7.817T	X524.372_7.157T	X387.193_5.958T	X453.188_5.844T	X562.327_7.159T	X281.247_8.168T	X268.154_5.176T	X359.151_7.785T	X546.354_7.157T	X496.34_6.555T	X165.055_0.468T	X182.081_0.47T	X95.05_0.473T	X147.044_0.475T	X177.061_0.254T	X90.055_0.297T	X91.055_0.471T	X136.076_0.472T	X327.051_0.249T	X182.191_3.468T	X170.093_0.295T	X133.097_0.448T	X258.279_6.127T	X185.031_0.417T	X81.519_5.856T	X230.248_5.559T	X272.222_6.574T	X196.155_0.579T
m41	benznidazole	0.0000245	0.0000627	0.0000264	0.0000362	0.0000562	0.000110511	0.000110722	0.0000465	0.000015	0.0000174	0.0000681	0.0000628	0.00000928	0.00024489	0.0000223	0.0000534	0.000669959	0.0000133	0.0000525	0.000947557	0.000117622	0.000042	0.0000812	0.000114453	0.0000157	0.000137812	0.000225757	0.0000856	0.000838373	0.0000338	0.00020485	0.003688418	0.0000431	0.0000511	0.0000863	0.0000136	0.0000286	0.000110874	0.0000206	0.0000994	0.000100325	0.000167273	0.0000324	0.0000186	0.000067	0.000960788	0.000115039	0.000174548	0.0000886	0.000830035	0.0000364	0.0000192	0.000226772	0.0000162	0.000116279	0.0000915	0.0000371	0.0000989	0.0000689	0.00086171	0.000345949	0.000141218	0.0000375	0.0000624	0.003005296	0.000102457	0.0000234	0.000222528	0.060084588	0.000261347	0.000197323	0.0000647	0.000211278	0.0000247	0.0000706	0.004537958	0.114269467	0.00116016	0.009686379	0.0000079	0.000146065	0.000110705	0.001554931	0.000131115	0.001205009	0.0000279	0.0000971	0.0000167	0.0000633	0.0000261	0.00000412	0.0000136	0.001329693	0.00000202	0.0000117
m42	benznidazole	0.0000114	0.000024	0.0000134	0.0000123	0.0000171	0.0000859	0.0000402	0.000137112	0.0000175	0.0000517	0.0000497	0.000843294	0.00000984	0.0000962	0.00016029	0.0000107	0.000652707	0.00000838	0.000222708	0.000228747	0.0000462	0.0000435	0.000135806	0.0000406	0.0000183	0.000113447	0.000125441	0.0000453	0.003466146	0.00005	0.00008	0.003265992	0.0000328	0.0000358	0.0000886	0.0000159	0.0000248	0.0000493	0.0000464	0.00010723	0.0000506	0.000109803	0.0000758	0.0000206	0.0000482	0.000703132	0.0000899	0.000164247	0.000103302	0.000600071	0.0000249	0.00000678	0.000177206	0.00000958	0.000085	0.0000862	0.0000221	0.00011477	0.0000856	0.000719803	0.000262583	0.000120839	0.0000346	0.0000238	0.002189956	0.0000492	0.0000147	0.0000951	0.049256194	0.000148789	0.000145676	0.0000568	0.0000896	0.0000133	0.0000247	0.003708214	0.097470611	0.00100527	0.008598654	0.000064	0.000119728	0.0000593	0.001470184	0.000107858	0.001009084	0.0000278	0.0000667	0.0000251	0.0000125	0.0000742	0.0000253	0.0000112	0.00453208	0.00000158	0.00000888
m43	benznidazole	0.00000465	0.0000498	0.000015	0.0000193	0.0000347	0.000116212	0.0000577	0.0000803	0.00000449	0.000016	0.0000667	0.000980576	0.0000127	0.000119828	0.0000147	0.0000373	0.000800903	0.00000849	0.000054	0.00027952	0.0000634	0.000048	0.0000308	0.0000778	0.0000165	0.000113276	0.000176676	0.0000797	0.001309876	0.000106544	0.000127112	0.004005885	0.0000397	0.0000329	0.0000943	0.0000191	0.0000265	0.000057	0.0000907	0.00012324	0.0000764	0.000118481	0.000188814	0.0000152	0.0000456	0.000903895	0.00012553	0.000184687	0.0000814	0.000825958	0.0000303	0.0000362	0.000203176	0.0000101	0.000105225	0.0000864	0.0000212	0.00012219	0.0000593	0.000808283	0.000288641	0.000132554	0.0000483	0.0000287	0.002541982	0.0000389	0.0000157	0.0000786	0.056046508	0.000154547	0.000231206	0.000059	0.0000808	0.0000139	0.0000326	0.003964573	0.105518754	0.00127982	0.01043653	0.000132965	0.000186922	0.0000891	0.002797196	0.000110602	0.001296916	0.0000273	0.0000689	0.0000229	0.0000477	0.0000176	0.0000106	0.0000152	0.000795152	0.00000122	0.00000874
m44	benznidazole	0.0000206	0.0000924	0.0000211	0.0000117	0.0000457	0.000104928	0.000119782	0.0000768	0.00000889	0.0000842	0.0000532	0.00085652	0.0000232	0.0000743	0.00016545	0.0000203	0.001216584	0.00000427	0.000152429	0.00026617	0.000198643	0.000026	0.000139536	0.000200107	0.00000944	0.000134643	0.000156876	0.0000617	0.00087287	0.0000541	0.000179932	0.003845342	0.0000338	0.000107604	0.0000892	0.0000137	0.0000338	0.000208307	0.0000612	0.000132485	0.000083	0.000143309	0.000189056	0.00000546	0.000045	0.000853988	0.0000956	0.000192416	0.0000735	0.000763242	0.0000263	0.0000471	0.000160492	0.00000635	0.000073	0.0000744	0.0000234	0.000129265	0.0000323	0.000875841	0.000283509	0.000141392	0.0000551	0.0000185	0.002905721	0.0000377	0.0000107	0.0000734	0.061710229	0.000246586	0.000376561	0.0000714	0.0000742	0.0000126	0.0000255	0.004604392	0.109492296	0.00096919	0.007946875	0.0000994	0.0000837	0.000151471	0.002548687	0.0000732	0.001010207	0.0000294	0.0000901	0.0000085	0.0000484	0.0000295	0.0000254	0.0000298	0.002978199	0.00000193	0.00000409
m45	benznidazole	0.0000435	0.0000951	0.0000178	0.00003	0.000043	0.000100872	0.00008	0.0000316	0.00000871	0	0.0000575	0.0000904	0.00000704	0.000142112	0.0000145	0.0000205	0.001196816	0.00000541	0.0000293	0.000611973	0.000141604	0.0000558	0.000154792	0.000111644	0.0000235	0.000138653	0.000237342	0.0000749	0.0005312	0.0000323	0.000200204	0.002810496	0.0000233	0.0000783	0.0000711	0.0000248	0.0000262	0.000154662	0.0000472	0.000106081	0.000089	0.000120355	0.00024649	0.0000102	0.0000451	0.000977158	0.000123487	0.000184938	0.000066	0.000824986	0.0000343	0.000115728	0.000185581	0.0000244	0.000091	0.0000553	0.0000156	0.0000937	0.0000505	0.000730001	0.000274672	0.00012893	0.0000684	0.0000418	0.002362189	0.000069	0.00000784	0.000158283	0.056162785	0.000239264	0.000512375	0.0000614	0.00014225	0.000011	0.0000433	0.00403861	0.097955077	0.001258721	0.011549247	0.000116411	0.000162377	0.000173216	0.005511978	0.000134538	0.001227238	0.0000568	0.0000756	0.00000898	0.0000156	0.0000248	0.00000703	0.0000163	0.001533746	0.0000035	0.00000866
mouse_22	benznidazole	0.000160014	0.0000566	0.0000486	0.0000157	0.0000318	0.0000963	0.000098	0.000046	0.00000967	0.0000539	0.0000522	0.000661028	0.0000473	0.00023697	0.000094	0	0.000110284	0.000157547	0.0000721	0.000191207	0.000137086	0.0000104	0.0000152	0.000111989	0.0000544	0.0000779	0.00019573	0.00000366	0.001831218	0.00000547	0.000104496	0.002823131	0.000044	0.0000527	0.0000629	0.000000877	0.0000319	0.000115061	0.0000233	0.000136834	0.000107698	0.000129406	0.0000543	0.0000333	0.0000629	0.00083291	0.000112424	0.00021033	0.000189639	0.000707107	0.0000385	0.00000909	0.00015265	0.00000719	0.0000494	0.000109399	0.0000297	0.000209523	0.000125168	0.00087344	0.000397619	0.0000916	0.0000587	0.00011917	0.002763307	0.000147479	0.0000275	0.000200613	0.057222447	0.000215491	0.000229644	0.0000799	0.000289127	0.0000292	0.0000976	0.004498801	0.105234784	0.001336785	0.011078927	0.000116609	0.000179409	0.000217008	0.00231024	0.000147944	0.00130309	0.0000526	0.0000651	0.000014	0.0000445	0.0000239	0.00000804	0.0000164	0.001025714	0.00000187	0.00000641
mouse_23	benznidazole	0	0	0	0	0	0	0	0	0	0	0	0.0000378	0.000017	0.0000888	0.00000651	0.0000119	0.000137526	0.00000267	0.0000221	0.000473264	0.0000561	0.0000164	0.0000313	0.0000304	0.0000448	0.0000102	0.000119598	0.0000423	0.00027729	0.00000541	0.0000515	0.000881386	0.00000587	0.0000389	0	0.00000262	0.0000164	0.0000398	0.00000814	0.0000794	0.0000189	0.0000374	0.0000438	0.0000133	0.0000233	0.000602315	0.0000713	0.0000724	0.0000871	0.000553287	0.000021	0.0000098	0.0000971	0.00000672	0.0000225	0.00000349	0.0000117	0.0000591	0.0000387	0.000515358	0.000201748	0.0000531	0.0000243	0.000024	0.001932418	0.000056	0.0000103	0.000104456	0.051735033	0.000147367	0.000123563	0.0000187	0.000149364	0.00000857	0.0000624	0.005272039	0.098984434	0.002294867	0.019145633	0.000200857	0.000306694	0.000302188	0.003592738	0.000248565	0.002671774	0.000118473	0.000127518	0.0000649	0.00011605	0.0000706	0.0000209	0.0000993	0.003090361	0.0000128	0.0000917
mouse_24	benznidazole	0.0000595	0	0	0	0	0	0	0.0000187	0	0	0.0000187	0.000032	0.0000101	0.0000504	0.0000172	0.00000401	0.000121773	0.00000777	0.000035	0.000673276	0.0000577	0.00000453	0.0000418	0.0000783	0.0000404	0.000174036	0.000133505	0.000196845	0.001251168	0.0000135	0.00004	0.001413503	0.0000265	0.0000375	0.000042	0.0000104	0.00000453	0.0000576	0.0000304	0.0000805	0.0000818	0.0000711	0.0000412	0.000015	0.0000432	0.000385014	0.0000699	0.000141212	0.000124852	0.000510506	0.0000233	0.0000127	0.0000851	0.00000414	0.0000168	0.0000799	0.0000152	0.0001296	0.0000688	0.000540683	0.000307412	0.0000499	0.0000249	0.0000417	0.001996617	0.0000674	0.000025	0.0000968	0.047779508	0.000128834	0.000332569	0.0000932	0.000163308	0.0000161	0.0000333	0.005273546	0.100463259	0.001790818	0.014657484	0.000212288	0.000230939	0.000438	0.001531102	0.000231138	0.00174019	0.0000954	0.000130709	0.0000358	0.0000221	0.0000461	0.0000346	0.0000379	0.001896666	0.0000109	0.0000924
mouse_25	benznidazole	0.000112925	0.0000124	0.0000259	0.0000193	0.0000149	0.0000704	0.0000599	0.0000158	0.00000562	0	0.0000374	0.000301857	0.00000576	0.0000973	0.0000316	0.00000338	0.0000894	0.0000126	0.0000213	0.0006078	0.0000749	0.0000243	0.0000441	0.0000785	0.00000851	0.00000509	0.000145081	0.0000416	0.00000452	0.0000219	0.0000721	0.001829442	0.0000264	0.0000386	0.0000612	0.000011	0.0000243	0.0000693	0.0000506	0.0000791	0.0000757	0.0000869	0.0000709	0.0000144	0.0000356	0.000624967	0.0000748	0.000124405	0.0000983	0.000511021	0.0000256	0.00000742	0.000121796	0.00000597	0.0000266	0.0000214	0.0000203	0.00018109	0.0000788	0.000586129	0.000312663	0.0000602	0.0000799	0.0000479	0.001929728	0.0000829	0.00000883	0.000106653	0.045294314	0.000143849	0.000336174	0.0000688	0.000160533	0.0000205	0.0000617	0.003916206	0.086116937	0.001813441	0.01533685	0.000331753	0.000237098	0.000294178	0.00169682	0.000218757	0.001776794	0.0000953	0.000120045	0.00000975	0.0000869	0.0000305	0.00000287	0.0000219	0.001603087	0.00000234	0.00000808
mouse_26	benznidazole	0.000158176	0.0000383	0.0000794	0.0000382	0.0000292	0.000131016	0.000109801	0.0000116	0	0.00000696	0.0000825	0.000543137	0.0000314	0.000275616	0.000100707	0.00000836	0.00051543	0.0000404	0.0000314	0.000986797	0.000128948	0.0000214	0.0000566	0.000137954	0.0000403	0.0000846	0.000288791	0.000174918	0.001662625	0.000023	0.0000958	0.003095203	0.0000359	0.0000461	0.0000986	0.0000189	0.0000354	0.00010838	0.0000322	0.000150441	0.0000925	0.000126694	0.000064	0.0000395	0.0000653	0.000969103	0.000125684	0.000181941	0.000158489	0.000896198	0.0000292	0.00000648	0.000203085	0.00000818	0.0000579	0.0000863	0.0000314	0.000221598	0.00012633	0.000806504	0.000447612	0.0000711	0.0000311	0.0000743	0.002813438	0.000105555	0.0000231	0.000115615	0.062262788	0.000268839	0.000161144	0.0000684	0.000203933	0.0000279	0.0000865	0.004594763	0.109744386	0.001098129	0.009732557	0.0000954	0.000128536	0.00019732	0.00187746	0.000101732	0.001058877	0.0000666	0.0000852	0.00000574	0.0000927	0.0000266	0.00000631	0.0000116	0.001010478	0.0000026	0.00000348
